date,source,medium,campaign,cost,impressions,clicks,users,revenue,conversion_rate,bounce_rate,time_on_site,device_type,browser,satisfaction_score,feedback_score
2021-05-02,brightedge,organic,chrome_launch_switch,7.61,2185,260,67,464.17,12%,21%,7m 52s,Mobile,Safari,5,3
2022-01-27,google,none,referral,94.88,3291,1634,360,374.01,18%,20%,9m 16s,Desktop,Firefox,3,4
2021-09-30,enterprisemarketingportal,none,direct,61.51,1680,1075,102,696.85,15%,21%,1m 25s,Mobile,Firefox,3,4
2021-03-24,brightedge,organic,direct,68.93,5120,2830,139,333.61,23%,24%,5m 28s,Desktop,Chrome,2,4
2023-07-29,brightedge,none,chrome_launch_switch,52.54,7915,2556,507,902.49,16%,18%,7m 6s,Mobile,Safari,4,4
2022-10-11,brightedge,organic,referral,70.38,2575,8525,816,261.19,8%,7%,8m 13s,Mobile,Firefox,5,3
2023-11-05,google,paid,direct,16.27,920,8832,382,144.05,8%,20%,7m 59s,Mobile,Safari,2,3
2023-10-09,referral,paid,direct,6.22,6654,1004,57,182.64,17%,25%,8m 9s,Desktop,Firefox,1,4
2023-10-13,referral,organic,chrome_launch_switch,70.7,7169,2674,172,64.19,29%,6%,10m 4s,Mobile,Chrome,2,5
2023-01-09,google,organic,referral,9.66,27,4888,24,652.66,23%,19%,2m 3s,Desktop,Firefox,3,4
2023-04-26,referral,referral,organic,31.64,1103,4772,567,536.1,9%,10%,2m 39s,Desktop,Chrome,4,3
2023-12-05,brightedge,organic,direct,96.36,4892,468,14,852.65,4%,21%,7m 12s,Desktop,Chrome,3,3
2021-04-10,referral,paid,referral,94.86,7885,2755,413,942.02,27%,17%,9m 34s,Desktop,Chrome,2,4
2023-04-14,google,referral,organic,54.06,3626,2864,420,107.8,22%,10%,6m 39s,Mobile,Chrome,1,4
2021-06-24,brightedge,none,organic,41.07,3070,387,174,921.86,8%,6%,3m 40s,Desktop,Firefox,1,5
2021-12-26,google,none,organic,36.56,9778,4049,727,430.3,28%,9%,8m 31s,Desktop,Safari,1,3
2022-01-17,enterprisemarketingportal,none,referral,35.63,4729,3676,111,968.32,5%,17%,3m 4s,Desktop,Safari,4,3
2023-07-06,brightedge,referral,referral,92.02,3711,3634,332,293.66,10%,6%,4m 14s,Mobile,Firefox,5,3
2021-12-01,brightedge,paid,chrome_launch_switch,56.2,9018,8711,746,666.08,7%,16%,4m 48s,Mobile,Firefox,4,4
2021-11-24,google,none,direct,15.7,4200,4943,694,208.95,5%,9%,9m 47s,Desktop,Chrome,4,5
2023-07-28,referral,none,organic,25.07,2800,2292,784,861.92,30%,8%,3m 49s,Mobile,Safari,1,3
2021-05-21,enterprisemarketingportal,referral,organic,14.21,7524,5093,478,387.13,22%,10%,5m 38s,Mobile,Safari,2,5
2023-03-18,google,referral,referral,6.48,6692,2958,593,248.89,19%,5%,3m 51s,Desktop,Chrome,1,3
2021-08-21,google,paid,organic,29.91,1713,8993,959,199.62,7%,25%,10m 58s,Mobile,Chrome,3,5
2022-12-07,google,paid,chrome_launch_switch,4.37,7581,3770,220,536.26,9%,14%,8m 4s,Desktop,Firefox,4,5
2023-02-24,referral,none,referral,2.51,158,114,272,240.09,8%,8%,2m 1s,Desktop,Safari,5,5
2023-07-20,google,organic,direct,80.85,8467,3193,145,672.11,24%,11%,7m 43s,Mobile,Chrome,1,3
2023-01-20,brightedge,paid,direct,31.03,9470,3811,227,424.36,3%,5%,9m 46s,Mobile,Chrome,5,5
2022-04-05,referral,referral,direct,74.87,6148,4163,237,272.05,6%,13%,4m 23s,Desktop,Firefox,1,3
2023-03-23,brightedge,referral,direct,63.57,6584,1801,473,663.04,23%,25%,6m 25s,Desktop,Chrome,1,4
2022-03-06,brightedge,organic,chrome_launch_switch,84.51,662,4676,891,741.46,17%,12%,1m 49s,Desktop,Safari,2,3
2021-01-29,google,none,referral,48.34,5225,6876,852,450.61,26%,24%,9m 19s,Mobile,Safari,5,5
2021-05-30,referral,referral,organic,2.05,8435,6374,239,785.64,29%,25%,4m 58s,Desktop,Safari,1,3
2021-07-16,referral,paid,referral,26.54,3170,2849,761,652.43,13%,8%,10m 6s,Desktop,Chrome,5,3
2022-12-30,enterprisemarketingportal,organic,direct,54.96,2245,1397,236,821.22,9%,14%,10m 44s,Desktop,Firefox,3,5
2023-12-17,referral,none,direct,25.36,7815,7631,531,100.92,17%,8%,5m 10s,Mobile,Chrome,1,5
2022-03-29,referral,organic,organic,12.48,4063,8145,767,340.83,14%,12%,3m 59s,Desktop,Firefox,4,4
2021-02-23,enterprisemarketingportal,paid,chrome_launch_switch,90.15,8657,1479,118,413.5,3%,21%,4m 40s,Mobile,Firefox,3,5
2022-06-26,referral,none,referral,90.59,1054,4559,208,277.72,3%,19%,6m 58s,Mobile,Safari,1,4
2022-11-09,brightedge,organic,direct,55.87,3491,7906,802,654.82,26%,13%,10m 43s,Desktop,Firefox,2,3
2022-02-15,google,organic,referral,92.71,8747,8324,10,776.41,7%,15%,10m 47s,Desktop,Safari,4,4
2022-01-09,brightedge,organic,chrome_launch_switch,50.82,6962,282,522,881.84,26%,6%,4m 18s,Desktop,Firefox,5,4
2022-03-31,google,none,chrome_launch_switch,62.8,2843,4835,403,447.17,5%,13%,5m 24s,Desktop,Safari,5,4
2023-01-20,google,referral,chrome_launch_switch,34.64,8606,4201,812,145.21,12%,18%,1m 59s,Mobile,Safari,3,3
2021-07-17,referral,referral,organic,10.06,3388,1733,227,394.78,16%,21%,10m 13s,Desktop,Firefox,3,4
2022-02-22,enterprisemarketingportal,none,direct,17.28,7739,8145,158,241.75,13%,5%,5m 38s,Desktop,Firefox,5,4
2021-07-08,referral,none,direct,69.76,5950,6118,796,960.38,1%,11%,3m 2s,Desktop,Chrome,5,3
2023-03-09,enterprisemarketingportal,referral,chrome_launch_switch,52.26,7216,3309,211,54.45,5%,11%,6m 57s,Desktop,Safari,1,3
2023-11-03,google,referral,referral,99.12,3965,3700,435,812.81,15%,16%,3m 5s,Mobile,Safari,2,3
2021-11-16,google,paid,organic,17.91,5305,5483,90,983.58,11%,8%,10m 57s,Desktop,Safari,2,3
2022-02-26,brightedge,paid,direct,91.37,2869,7863,994,346.54,30%,13%,5m 7s,Desktop,Chrome,3,4
2022-08-05,brightedge,none,direct,26.51,7552,2561,415,250.43,8%,14%,9m 45s,Mobile,Firefox,5,3
2023-07-07,google,referral,organic,52.8,3974,7840,930,373.52,1%,22%,1m 30s,Mobile,Chrome,5,4
2022-05-02,google,organic,organic,74.55,9589,817,899,185.42,21%,5%,9m 2s,Desktop,Safari,5,4
2021-02-13,referral,paid,organic,84.32,3650,1781,885,604.58,17%,11%,5m 6s,Mobile,Safari,4,4
2023-11-07,referral,paid,direct,67.54,5212,5925,579,783.63,1%,19%,3m 45s,Desktop,Chrome,1,5
2021-09-04,brightedge,organic,referral,41.1,3303,7483,160,620.64,28%,6%,9m 15s,Mobile,Firefox,3,4
2022-09-10,referral,paid,chrome_launch_switch,49.35,3063,3379,954,290.68,16%,12%,6m 28s,Mobile,Chrome,4,5
2021-11-29,enterprisemarketingportal,organic,direct,7.98,5291,3739,596,102.2,23%,15%,1m 22s,Desktop,Firefox,4,4
2021-02-17,enterprisemarketingportal,organic,chrome_launch_switch,4.94,7037,5885,687,947.84,4%,6%,5m 51s,Mobile,Chrome,4,5
2023-12-22,enterprisemarketingportal,none,organic,92.88,9283,2754,470,788.87,28%,21%,8m 38s,Mobile,Safari,3,4
2022-08-23,google,organic,chrome_launch_switch,52.3,1378,2790,918,522.29,12%,9%,3m 46s,Desktop,Firefox,5,3
2022-09-29,brightedge,referral,referral,5.13,9926,8332,880,544.6,17%,9%,4m 56s,Mobile,Chrome,5,3
2023-05-08,referral,organic,organic,42.17,5845,3752,371,396.15,6%,23%,6m 46s,Mobile,Safari,3,3
2022-11-22,google,paid,direct,2.6,5418,6422,444,489.51,28%,5%,2m 30s,Desktop,Safari,1,5
2021-07-11,enterprisemarketingportal,none,referral,74.8,7768,3225,881,630.04,3%,7%,3m 4s,Mobile,Firefox,3,5
2021-05-18,google,paid,organic,56.03,8494,4519,999,326.43,24%,5%,2m 7s,Mobile,Chrome,1,3
2021-10-16,referral,referral,organic,30.9,5936,8839,216,541.26,6%,6%,2m 37s,Mobile,Firefox,5,3
2022-11-10,enterprisemarketingportal,none,organic,55.41,2695,4038,132,908.03,11%,20%,5m 58s,Mobile,Safari,3,3
2023-05-09,referral,paid,chrome_launch_switch,50.65,3287,3871,628,946.34,21%,21%,2m 12s,Mobile,Chrome,5,5
2023-02-07,enterprisemarketingportal,none,organic,55.64,7771,677,915,848.0,11%,16%,6m 49s,Desktop,Firefox,4,4
2021-12-22,enterprisemarketingportal,paid,direct,65.71,1793,5439,195,474.07,3%,17%,3m 24s,Mobile,Safari,2,5
2022-10-04,brightedge,none,organic,71.56,903,5796,731,578.89,12%,22%,2m 4s,Desktop,Safari,1,4
2022-10-21,enterprisemarketingportal,referral,direct,22.74,3777,3568,771,187.89,18%,7%,6m 38s,Mobile,Firefox,3,3
2022-12-23,enterprisemarketingportal,none,chrome_launch_switch,62.86,2422,7035,69,811.9,1%,25%,9m 42s,Mobile,Safari,5,3
2023-11-29,enterprisemarketingportal,paid,referral,85.7,860,4136,781,628.03,14%,12%,8m 56s,Desktop,Chrome,3,5
2023-11-17,brightedge,none,referral,88.65,1841,4728,732,942.93,21%,8%,9m 36s,Desktop,Firefox,3,5
2021-04-24,brightedge,paid,organic,41.84,8924,6719,919,529.62,4%,25%,8m 44s,Desktop,Firefox,2,5
2023-07-27,enterprisemarketingportal,none,direct,90.8,5828,7671,713,546.42,9%,17%,1m 49s,Desktop,Safari,5,5
2021-05-28,enterprisemarketingportal,none,referral,29.23,1244,598,515,507.65,25%,12%,5m 37s,Desktop,Safari,3,5
2023-05-13,brightedge,organic,referral,79.92,8056,7971,819,347.24,9%,7%,1m 5s,Desktop,Firefox,2,5
2023-01-11,google,none,chrome_launch_switch,97.85,4468,4771,834,200.2,2%,7%,3m 20s,Mobile,Firefox,5,5
2021-10-27,referral,none,direct,83.55,1677,4316,134,382.51,5%,21%,5m 8s,Desktop,Chrome,2,3
2021-04-25,enterprisemarketingportal,none,organic,39.58,660,2529,442,143.26,2%,9%,9m 56s,Desktop,Safari,3,3
2022-05-08,enterprisemarketingportal,organic,chrome_launch_switch,56.7,3980,6998,153,578.67,29%,12%,7m 26s,Desktop,Safari,2,5
2023-07-24,enterprisemarketingportal,paid,organic,72.49,3412,7467,505,851.58,8%,24%,10m 20s,Desktop,Firefox,3,5
2021-10-07,google,paid,organic,40.16,1596,8323,711,977.83,28%,8%,5m 23s,Desktop,Firefox,5,5
2023-05-28,enterprisemarketingportal,none,referral,89.43,494,4194,409,289.09,27%,25%,5m 39s,Mobile,Chrome,2,5
2023-08-24,brightedge,paid,organic,6.23,3896,3825,347,216.36,2%,21%,3m 19s,Desktop,Chrome,3,4
2021-06-23,referral,paid,chrome_launch_switch,56.89,1732,1156,259,446.74,22%,15%,6m 39s,Mobile,Firefox,4,5
2021-04-27,brightedge,referral,referral,50.69,6272,8303,827,984.35,4%,18%,10m 28s,Mobile,Chrome,2,4
2023-03-20,google,organic,direct,54.3,5687,4298,580,836.87,27%,11%,6m 3s,Mobile,Chrome,4,5
2023-06-20,google,paid,referral,68.25,5196,5320,67,490.82,4%,8%,3m 20s,Mobile,Safari,3,3
2021-09-07,enterprisemarketingportal,none,chrome_launch_switch,70.81,3724,2299,329,285.72,20%,15%,6m 2s,Desktop,Firefox,5,4
2022-01-24,enterprisemarketingportal,none,organic,49.32,7623,1354,91,272.05,27%,17%,1m 31s,Mobile,Safari,5,3
2022-12-28,google,referral,direct,78.85,8720,274,214,674.12,17%,11%,4m 13s,Mobile,Chrome,5,3
2023-10-22,google,organic,organic,30.89,8891,5938,563,216.64,3%,22%,5m 45s,Mobile,Chrome,3,5
2022-08-21,google,organic,organic,73.48,1596,7503,94,275.83,23%,22%,7m 33s,Mobile,Safari,3,3
2023-01-08,google,none,organic,92.61,3158,760,673,344.09,2%,12%,10m 8s,Desktop,Safari,5,5
2021-05-14,brightedge,paid,organic,22.41,9776,3069,525,806.24,24%,5%,4m 41s,Desktop,Chrome,1,4
2023-10-26,enterprisemarketingportal,none,direct,63.96,7658,6146,436,278.02,22%,23%,1m 4s,Desktop,Firefox,5,3
2023-11-12,enterprisemarketingportal,none,chrome_launch_switch,81.07,9596,3293,815,162.99,8%,25%,5m 13s,Desktop,Chrome,2,3
2022-12-12,enterprisemarketingportal,paid,direct,78.19,5278,3930,880,871.87,18%,9%,1m 52s,Desktop,Chrome,2,3
2021-05-26,referral,referral,referral,88.08,1914,8199,532,673.21,2%,5%,5m 28s,Desktop,Safari,4,5
2022-10-23,google,organic,organic,46.85,5349,6354,828,256.65,15%,12%,5m 26s,Mobile,Chrome,5,5
2023-01-19,enterprisemarketingportal,organic,direct,88.39,1035,1455,358,893.97,3%,23%,2m 18s,Mobile,Safari,4,3
2021-02-28,referral,none,direct,18.0,4218,2439,633,655.52,3%,23%,2m 57s,Desktop,Firefox,5,4
2022-05-16,enterprisemarketingportal,organic,direct,21.37,2088,4266,890,319.93,8%,7%,4m 8s,Desktop,Firefox,4,3
2023-02-26,google,organic,referral,2.74,7140,801,359,513.61,6%,11%,7m 59s,Desktop,Firefox,4,3
2021-06-01,google,none,direct,43.28,637,8722,275,422.48,2%,16%,5m 35s,Mobile,Firefox,4,4
2024-01-02,google,none,referral,47.69,7872,3288,921,868.43,28%,17%,8m 21s,Mobile,Firefox,3,5
2022-04-13,referral,organic,chrome_launch_switch,19.26,1319,7007,218,850.08,26%,13%,4m 24s,Mobile,Chrome,3,4
2023-02-09,google,organic,direct,3.49,8436,6202,676,682.17,23%,10%,4m 39s,Desktop,Firefox,5,4
2022-10-02,google,none,direct,63.92,8548,1924,547,205.09,10%,16%,1m 28s,Mobile,Firefox,1,3
2023-07-28,referral,referral,direct,53.63,6720,4159,127,713.24,1%,23%,6m 38s,Desktop,Chrome,1,3
2023-03-01,referral,referral,chrome_launch_switch,35.74,5639,6042,596,968.57,7%,14%,2m 2s,Mobile,Safari,5,3
2023-12-17,brightedge,paid,direct,91.39,1422,6544,463,528.31,1%,20%,5m 53s,Desktop,Firefox,2,5
2023-04-15,brightedge,paid,chrome_launch_switch,2.9,3440,6029,83,178.66,19%,7%,5m 36s,Desktop,Firefox,4,4
2021-04-26,enterprisemarketingportal,organic,direct,81.58,2912,2201,418,268.59,9%,10%,5m 43s,Mobile,Chrome,4,3
2023-10-11,referral,organic,chrome_launch_switch,98.46,9981,890,48,657.74,23%,19%,3m 53s,Mobile,Safari,5,5
2023-06-15,google,referral,direct,18.01,2511,6102,636,627.19,28%,25%,9m 7s,Desktop,Firefox,4,4
2022-03-28,enterprisemarketingportal,referral,referral,7.62,9334,1519,310,859.49,8%,18%,6m 17s,Desktop,Firefox,1,3
2021-07-21,google,paid,chrome_launch_switch,6.07,62,688,302,199.49,3%,10%,3m 1s,Desktop,Chrome,3,3
2021-09-18,referral,paid,referral,78.33,6221,2422,472,564.93,24%,5%,2m 41s,Desktop,Firefox,2,4
2021-12-01,google,none,chrome_launch_switch,77.31,1008,48,910,159.71,26%,17%,8m 23s,Desktop,Firefox,5,5
2023-09-09,enterprisemarketingportal,referral,organic,40.44,7555,4097,896,471.18,18%,21%,10m 18s,Mobile,Firefox,5,4
2022-12-01,referral,organic,chrome_launch_switch,67.37,6238,6250,567,572.39,26%,10%,4m 29s,Mobile,Firefox,5,3
2023-02-14,brightedge,none,organic,11.46,9969,8258,391,157.81,17%,21%,1m 2s,Desktop,Chrome,5,4
2021-10-16,google,none,organic,19.9,7109,7857,634,740.65,5%,13%,2m 15s,Mobile,Safari,5,4
2021-09-11,google,paid,direct,3.74,5393,6195,267,849.86,20%,17%,8m 51s,Desktop,Firefox,4,5
2022-08-09,referral,organic,referral,86.97,2126,3044,194,410.8,6%,13%,10m 40s,Mobile,Firefox,3,5
2022-04-19,brightedge,organic,referral,56.64,8372,7170,903,794.45,3%,15%,10m 49s,Mobile,Chrome,5,5
2023-05-07,brightedge,none,chrome_launch_switch,48.32,290,2134,191,456.64,25%,6%,8m 20s,Desktop,Chrome,4,3
2021-08-08,brightedge,none,direct,22.62,1887,6513,456,576.15,7%,6%,9m 36s,Desktop,Safari,5,5
2022-12-09,brightedge,organic,chrome_launch_switch,77.86,8490,7045,464,233.08,15%,12%,8m 54s,Desktop,Safari,3,3
2023-11-15,google,referral,chrome_launch_switch,27.45,4859,1116,224,383.45,20%,15%,9m 20s,Desktop,Firefox,1,3
2022-12-06,referral,organic,organic,59.99,2356,4535,659,869.3,3%,10%,5m 53s,Desktop,Safari,3,4
2021-09-17,referral,organic,direct,12.22,2944,3708,998,831.34,20%,24%,7m 25s,Desktop,Safari,1,3
2022-11-18,google,paid,organic,94.12,3138,3368,984,85.46,18%,8%,3m 49s,Desktop,Chrome,2,5
2022-09-25,brightedge,paid,organic,94.98,4946,2744,244,852.1,23%,19%,4m 39s,Mobile,Safari,3,4
2021-01-22,enterprisemarketingportal,none,organic,77.11,4714,1842,963,129.54,28%,10%,2m 32s,Mobile,Firefox,3,3
2023-11-17,google,referral,direct,89.01,9323,6179,320,836.73,7%,7%,1m 20s,Desktop,Safari,3,3
2022-01-07,brightedge,none,organic,71.14,8487,6800,700,602.5,20%,18%,9m 30s,Desktop,Safari,4,4
2022-02-25,google,paid,referral,87.86,2579,7108,964,123.1,13%,17%,2m 42s,Desktop,Firefox,4,3
2023-01-08,referral,paid,direct,22.16,6870,1978,738,91.3,12%,18%,4m 37s,Desktop,Safari,2,4
2021-01-23,brightedge,paid,referral,67.39,8142,8489,13,532.73,15%,19%,2m 41s,Mobile,Chrome,2,5
2021-06-18,brightedge,paid,direct,52.82,2063,3493,506,796.4,17%,20%,9m 10s,Mobile,Safari,5,4
2023-08-24,referral,referral,organic,85.08,4430,2210,694,854.44,17%,13%,1m 7s,Mobile,Firefox,3,4
2021-05-21,brightedge,paid,direct,48.72,5653,4064,501,32.01,6%,18%,8m 12s,Desktop,Chrome,3,3
2021-04-16,google,paid,referral,67.94,7729,5722,328,141.55,19%,23%,1m 25s,Desktop,Chrome,1,4
2023-06-29,enterprisemarketingportal,organic,direct,8.22,2595,5714,609,168.14,2%,24%,5m 32s,Desktop,Firefox,1,5
2021-09-10,referral,paid,organic,19.52,3232,1672,466,356.39,16%,21%,1m 41s,Mobile,Chrome,5,5
2021-02-24,referral,organic,chrome_launch_switch,99.27,1744,5970,613,743.92,21%,5%,5m 15s,Mobile,Firefox,4,3
2021-09-27,referral,referral,referral,29.2,8951,1238,955,51.19,22%,23%,7m 35s,Desktop,Safari,4,3
2023-09-19,enterprisemarketingportal,paid,organic,61.3,5945,3344,957,445.34,22%,23%,7m 47s,Mobile,Chrome,3,4
2022-12-26,referral,none,chrome_launch_switch,98.84,7617,6462,336,70.78,8%,18%,8m 8s,Mobile,Firefox,2,4
2022-09-07,google,none,direct,41.95,4167,4935,380,311.12,24%,18%,1m 12s,Mobile,Firefox,5,5
2023-08-26,google,none,chrome_launch_switch,75.73,4874,2394,388,128.31,20%,8%,10m 18s,Desktop,Safari,2,3
2023-11-06,brightedge,paid,referral,84.39,308,3570,451,406.97,25%,17%,10m 51s,Mobile,Chrome,4,5
2023-06-30,enterprisemarketingportal,none,chrome_launch_switch,46.68,2722,8788,563,266.57,13%,25%,2m 51s,Mobile,Chrome,5,3
2022-07-31,brightedge,organic,direct,26.43,3395,6559,50,774.52,10%,8%,4m 17s,Mobile,Chrome,5,3
2022-12-09,enterprisemarketingportal,paid,organic,84.03,5352,4287,658,782.38,28%,22%,5m 1s,Mobile,Firefox,4,3
2023-05-09,brightedge,paid,referral,52.35,5913,8463,449,366.82,11%,21%,3m 24s,Mobile,Firefox,1,3
2023-09-18,enterprisemarketingportal,referral,referral,82.14,8236,4232,735,312.1,1%,10%,10m 30s,Mobile,Firefox,4,4
2022-01-29,brightedge,organic,referral,64.61,7480,8454,749,726.99,17%,20%,3m 44s,Mobile,Firefox,5,4
2021-07-10,enterprisemarketingportal,referral,chrome_launch_switch,60.6,7385,1421,415,297.64,16%,21%,2m 4s,Mobile,Firefox,5,5
2021-02-26,referral,referral,referral,10.79,2169,3411,175,889.45,1%,7%,4m 8s,Desktop,Firefox,2,5
2022-12-31,enterprisemarketingportal,paid,chrome_launch_switch,74.82,6026,8373,666,779.1,6%,22%,4m 59s,Mobile,Safari,3,5
2023-09-17,enterprisemarketingportal,referral,referral,72.96,9056,2485,989,97.45,7%,23%,2m 56s,Desktop,Firefox,4,4
2021-02-18,brightedge,referral,organic,5.9,3364,6760,723,39.36,3%,17%,5m 47s,Mobile,Safari,3,4
2023-03-19,brightedge,none,referral,72.3,5499,6636,682,543.68,23%,9%,10m 27s,Mobile,Chrome,5,3
2022-11-25,referral,organic,direct,12.52,6138,4818,761,620.97,25%,22%,2m 9s,Desktop,Chrome,2,3
2021-02-11,brightedge,paid,chrome_launch_switch,14.36,8625,3327,850,859.39,19%,11%,10m 7s,Desktop,Chrome,2,3
2023-03-30,referral,none,organic,83.66,2960,8486,443,84.11,28%,18%,10m 22s,Desktop,Safari,4,5
2023-04-15,brightedge,referral,chrome_launch_switch,96.76,7860,4270,986,440.78,6%,10%,8m 41s,Mobile,Firefox,3,3
2023-08-26,google,referral,organic,48.94,6846,4912,358,737.52,4%,8%,2m 13s,Mobile,Firefox,4,5
2022-06-25,brightedge,organic,referral,44.96,4770,2300,236,300.14,19%,15%,4m 49s,Mobile,Chrome,2,5
2021-11-09,google,organic,direct,17.28,3200,7891,262,250.91,23%,9%,9m 51s,Mobile,Firefox,1,4
2021-07-26,enterprisemarketingportal,organic,referral,56.27,2121,5536,424,874.22,6%,18%,2m 26s,Mobile,Firefox,2,5
2022-05-19,enterprisemarketingportal,none,referral,62.98,880,7377,908,582.45,25%,10%,3m 33s,Desktop,Safari,3,4
2022-08-21,brightedge,paid,organic,83.15,634,5010,756,704.67,27%,23%,10m 26s,Mobile,Chrome,3,3
2022-12-03,referral,paid,direct,17.12,5543,7307,554,875.64,19%,20%,1m 27s,Desktop,Safari,5,3
2021-12-26,referral,organic,chrome_launch_switch,77.33,3470,6941,337,464.12,8%,13%,4m 5s,Desktop,Chrome,3,5
2023-11-10,referral,paid,chrome_launch_switch,13.1,9774,3376,789,582.24,18%,19%,7m 40s,Desktop,Safari,4,5
2023-08-03,referral,referral,direct,89.66,2666,4433,874,352.15,8%,16%,8m 10s,Mobile,Chrome,3,5
2022-11-26,brightedge,organic,direct,30.55,6380,2524,674,163.07,30%,9%,10m 39s,Desktop,Firefox,1,5
2024-01-11,brightedge,none,direct,29.97,8993,1531,585,696.74,24%,16%,5m 3s,Desktop,Chrome,1,4
2022-06-05,referral,none,chrome_launch_switch,64.34,7020,5363,552,588.99,25%,7%,1m 58s,Desktop,Safari,3,4
2021-01-19,brightedge,referral,organic,14.76,6164,3737,783,691.51,6%,18%,10m 59s,Desktop,Chrome,3,3
2023-06-11,brightedge,organic,organic,12.96,7403,4104,814,88.76,25%,23%,3m 42s,Desktop,Chrome,4,4
2022-03-27,brightedge,none,organic,33.44,5318,5120,31,258.34,16%,11%,5m 38s,Desktop,Safari,4,4
2023-03-24,enterprisemarketingportal,referral,referral,42.13,5907,2688,998,778.66,4%,18%,8m 27s,Mobile,Safari,4,5
2022-12-28,brightedge,organic,organic,96.79,7401,4581,988,11.34,10%,10%,7m 7s,Mobile,Chrome,2,3
2023-01-14,brightedge,none,direct,37.8,1999,1758,760,896.89,1%,6%,1m 27s,Mobile,Chrome,5,3
2021-11-29,google,none,chrome_launch_switch,28.11,7711,7432,53,973.6,21%,5%,3m 34s,Mobile,Safari,2,4
2022-10-07,enterprisemarketingportal,none,referral,83.96,443,2857,245,920.24,11%,19%,8m 2s,Desktop,Chrome,4,3
2022-08-04,referral,referral,referral,70.43,6843,7057,978,427.31,21%,17%,4m 15s,Mobile,Firefox,3,4
2022-03-24,enterprisemarketingportal,paid,referral,79.83,5595,6785,120,127.89,2%,23%,5m 38s,Desktop,Safari,5,5
2021-09-09,google,referral,chrome_launch_switch,3.5,1757,6199,715,308.99,24%,10%,3m 51s,Mobile,Chrome,4,4
2022-09-29,enterprisemarketingportal,referral,organic,65.95,2604,6148,757,672.16,29%,11%,9m 2s,Desktop,Firefox,3,5
2022-07-03,brightedge,none,referral,36.61,7122,6260,399,194.31,29%,16%,4m 38s,Desktop,Chrome,1,3
2022-10-12,referral,none,direct,42.96,6794,6489,638,775.51,17%,25%,10m 31s,Mobile,Safari,5,3
2021-09-17,google,referral,organic,80.21,3847,4147,709,785.42,22%,11%,4m 58s,Mobile,Firefox,5,5
2023-06-07,brightedge,referral,organic,23.2,7436,2110,722,418.16,26%,15%,2m 53s,Desktop,Chrome,2,3
2023-04-11,google,organic,referral,11.51,9870,48,209,883.1,16%,17%,4m 50s,Desktop,Chrome,2,3
2021-01-25,enterprisemarketingportal,referral,organic,35.02,498,2737,144,562.64,29%,19%,3m 11s,Mobile,Chrome,5,4
2022-12-20,referral,organic,referral,70.87,1056,2771,130,962.78,15%,14%,6m 35s,Desktop,Firefox,4,5
2023-01-18,referral,paid,referral,94.34,1015,6957,226,235.04,21%,11%,3m 1s,Desktop,Chrome,1,4
2022-10-21,google,none,referral,42.82,6636,1967,388,159.42,13%,6%,9m 31s,Mobile,Chrome,3,5
2021-04-03,referral,paid,referral,94.56,5947,2806,340,105.46,10%,7%,1m 3s,Mobile,Safari,1,4
2023-05-30,enterprisemarketingportal,organic,direct,60.91,6104,2358,769,802.57,10%,15%,4m 30s,Mobile,Firefox,1,4
2022-08-05,google,none,direct,67.44,170,6768,675,621.96,29%,14%,5m 18s,Desktop,Safari,3,4
2022-02-28,enterprisemarketingportal,paid,chrome_launch_switch,4.33,2246,5398,902,618.51,7%,12%,2m 55s,Mobile,Chrome,4,3
2022-06-05,brightedge,referral,direct,68.87,3445,2197,766,194.3,2%,7%,7m 41s,Mobile,Chrome,2,5
2022-09-13,google,referral,direct,2.34,6424,6691,154,837.61,13%,16%,3m 22s,Desktop,Chrome,1,5
2021-11-25,enterprisemarketingportal,organic,organic,31.98,7077,1062,714,168.81,18%,19%,7m 57s,Mobile,Firefox,5,4
2022-02-06,google,paid,referral,43.2,4768,4054,260,474.82,26%,16%,5m 33s,Desktop,Safari,3,5
2023-07-20,google,referral,organic,69.16,6827,2845,531,537.23,15%,17%,2m 5s,Desktop,Safari,1,5
2021-01-27,enterprisemarketingportal,referral,chrome_launch_switch,80.31,6906,6814,655,916.47,8%,5%,8m 11s,Desktop,Chrome,2,4
2023-10-02,google,referral,organic,16.23,6903,6141,666,737.12,4%,21%,9m 7s,Desktop,Firefox,3,4
2023-02-21,google,paid,referral,47.42,6268,6405,814,177.73,10%,9%,1m 53s,Desktop,Chrome,1,5
2021-09-22,brightedge,paid,direct,51.32,347,8166,637,518.85,24%,17%,8m 2s,Mobile,Chrome,1,4
2022-06-16,google,paid,chrome_launch_switch,76.9,7663,1383,77,268.13,27%,10%,2m 36s,Desktop,Firefox,4,4
2021-06-22,referral,paid,direct,88.28,9347,1813,272,291.15,12%,21%,9m 4s,Mobile,Chrome,3,3
2022-12-28,referral,paid,organic,18.4,5268,8750,407,925.63,25%,14%,3m 42s,Mobile,Firefox,1,5
2023-07-08,enterprisemarketingportal,none,direct,70.08,2847,5242,200,273.67,10%,5%,8m 56s,Mobile,Safari,1,3
2022-06-29,brightedge,referral,referral,26.97,2310,6719,590,489.05,5%,17%,6m 9s,Desktop,Firefox,1,5
2021-06-02,google,referral,organic,48.64,9771,1655,777,703.53,15%,8%,10m 16s,Mobile,Firefox,1,5
